;PID;county;state;area;poptotal;popdensity;popwhite;popblack;popamerindian;popasian;popother;percwhite;percblack;percamerindan;percasian;percother;popadults;perchsd;percollege;percprof;poppovertyknown;percpovertyknown;percbelowpoverty;percchildbelowpovert;percadultpoverty;percelderlypoverty;inmetro;category
290;2021;CLERMONT;OH;0.026;150187;577.642.308;148084;1291;218;453;141;985.997.457;0.85959504;0.14515238;0.30162398;0.09388296;91613;727.833.386;196.893.454;45.528.473;148417;988.214.692;869.374.802;119.078.721;70.066.905;90.945.467;1;AAU
291;2022;CLINTON;OH;0.024;35415;1.475.625;34471;716;59;138;31;973.344.628;20.217.422;0.16659608;0.3896654;0.08753353;21969;743.320.133;157.631.208;377.349.902;34521;974.756.459;122.505.142;147.371.682;106.142.298;134.121.622;0;AAR
292;2023;COLUMBIANA;OH;0.031;108276;349.277.419;106369;1409;174;219;105;982.387.602;130.130.407;0.16070043;0.20226089;0.0969744;70249;718.003.103;130.905.778;28.797.563;106943;987.688.869;158.916.432;232.200.959;136.442.561;120.377.504;1;AAU
293;2024;COSHOCTON;OH;0.034;35427;104.197.059;34819;415;68;112;13;982.837.948;117.142.293;0.191944;0.31614305;0.03669518;22878;713.305.359;116.793.426;242.154.034;34833;983.233.127;13.188.643;17.751.112;111.867.496;121.505.376;0;AAR
294;2025;CRAWFORD;OH;0.023;47870;208.130.435;47361;253;67;116;73;989.367.036;0.52851473;0.1399624;0.24232296;0.15249634;30958;738.193.682;14.258.027;29.717.682;47189;985.773.971;115.916.845;15.418.153;101.218.333;104.140.383;1;AAU
295;2026;CUYAHOGA;OH;0.026;1412140;543.130.769;1025756;350185;2533;18085;15581;72.638.407;247.981.787;0.17937315;128.068.039;110.336.086;943924;740.130.561;250.853.882;735.673.635;1388547;983.292.733;137.661.167;215.809.764;116.755.057;10.213.391;1;AAU
296;2027;DARKE;OH;0.036;53619;148.941.667;53067;184;96;114;158;989.705.142;0.34316194;0.17904101;0.2126112;0.29467166;34048;734.580.592;13.475.094;321.898.496;52557;980.193.588;898.643.378;121.345.723;714.033.102;959.320.612;0;AAR
297;2028;DEFIANCE;OH;0.023;39350;171.086.957;36962;493;80;121;1694;93.931.385;125.285.896;0.20330368;0.30749682;430.495.553;24362;767.670.963;181.881.619;344.388.802;38386;975.501.906;87.584.015;114.322.065;711.092.484;976.641.842;0;AAR
298;2029;DELAWARE;OH;0.027;66929;247.885.185;64888;1424;104;385;128;969.504.998;212.762.778;0.15538855;0.57523644;0.19124744;41799;843.728.319;315.940.573;934.232.876;63986;95.602.803;567.311.599;65.723.747;452.441.077;906.414.817;1;HLU
299;2030;ERIE;OH;0.014;76779;548.421.429;69613;6312;150;265;439;906.667.188;822.099.793;0.19536592;0.34514646;0.57177093;50112;762.392.241;187.380.268;463.761.175;75406;982.117.506;898.602.233;126.682.741;713.811.263;933.003.597;0;AAR
